cell,feature,time,int
cell15_01,cyto,72,-0.17562036920342006
cell15_01,cyto,73,-0.19083359313332046
cell15_01,cyto,74,-0.1916892747932102
cell15_01,cyto,75,-0.18472442407317743
cell15_01,cyto,76,-0.18736609245341837
cell15_01,cyto,77,-0.19381355426282035
cell15_01,cyto,78,-0.17433684671358537
cell15_01,cyto,79,-0.17079472263311157
cell15_01,cyto,80,-0.18694820141021637
cell15_01,cyto,81,-0.18283396459202553
cell15_01,cyto,82,-0.17948088645966692
cell15_01,cyto,83,-0.16996391544007905
cell15_01,cyto,84,-0.18823669879342253
cell15_01,cyto,85,-0.1876546362689627
cell15_01,cyto,86,-0.19178877266063932
cell15_01,cyto,87,-0.19048037570394738
cell15_01,cyto,88,-0.21025060196209786
cell15_01,cyto,89,-0.1867243312085011
cell15_01,cyto,90,-0.2045443992650424
cell15_01,cyto,91,-0.20085800327679648
cell15_01,cyto,92,-0.1886098157962814
cell15_01,cyto,93,-0.18915705406714117
cell15_01,cyto,94,-0.20848451481523242
cell15_01,cyto,95,-0.1963756243491181
cell15_01,cyto,96,-0.20833029312071738
cell15_01,cyto,97,-0.19858945189941424
cell15_01,cyto,98,-0.21385242476302926
cell15_01,cyto,99,-0.18430653302997543
cell15_01,cyto,100,-0.18687855290301614
cell15_01,cyto,101,-0.19822628468329834
cell15_01,cyto,102,-0.19610698010705968
cell15_01,cyto,103,-0.18321703138162732
cell15_01,cyto,104,-0.19378370490259164
cell15_01,cyto,105,-0.1898435893524016
cell15_01,cyto,106,-0.19416677169219343
cell15_01,cyto,107,-0.19910684081004532
cell15_01,cyto,108,-0.17856053118594828
cell15_01,cyto,109,-0.20081322923645334
cell15_01,cyto,110,-0.1789734473357788
cell15_01,cyto,111,-0.20108187347851175
cell15_01,cyto,112,-0.1832070815948845
cell15_01,cyto,113,-0.19426129466625092
cell15_01,cyto,114,-0.18128677275350402
cell15_01,cyto,115,-0.1795306353933814
cell15_01,cyto,116,-0.20671842766836698
cell15_01,cyto,117,-0.18784368221707778
cell13_01,nucl,1,-0.0060793777668469995
cell13_01,nucl,2,-0.006187745941957601
cell13_01,nucl,3,0.0875853111165765
cell13_01,nucl,4,0.07524286768322674
cell13_01,nucl,5,0.08069586202656173
cell13_01,nucl,6,0.05289366084604036
cell13_01,nucl,7,0.06010129734382696
cell13_01,nucl,8,0.0468757685686178
cell13_01,nucl,9,0.0468065973930153
cell13_01,nucl,10,0.041162229463846636
cell13_01,nucl,11,0.03128227988194791
cell13_01,nucl,12,0.021370050418101423
cell13_01,nucl,13,0.008522657402853013
cell13_01,nucl,14,0.03033463477619286
cell13_01,nucl,15,0.005271612149532739
cell13_01,nucl,16,-0.0035338785046729075
cell13_01,nucl,17,-0.0035108214461386116
cell13_01,nucl,18,-0.0037759776192817706
cell13_01,nucl,19,-0.012371649040826306
